Line_name,Station_name,Latitude,Longtitude
BD,BATHURST,43.66599176,-79.41158255
BD,BAY,43.67040029,-79.39027029
SHP,BAYVIEW,43.76725222,-79.38739865
SHP,BESSARION,43.76912679,-79.37672419
BD,BLOOR YONGE,43.670672,-79.38595009
BD,BROADVIEW,43.67686172,-79.35852385
BD,CASTLE FRANK,43.67414063,-79.36879416
BD,CHESTER,43.67837735,-79.35141628
BD,CHRISTIE,43.66425178,-79.41869303
YU,COLLEGE,43.66122997,-79.38278217
BD,COXWELL,43.68414917,-79.32352724
YU,DAVISVILLE,43.69812339,-79.39733141
SHP,DON MILLS,43.77556464,-79.34693642
BD,DONLANDS,43.68105008,-79.33792557
YU,DOWNSVIEW PARK,43.7536,-79.4788
BD,DUFFERIN,43.6602,-79.4357
YU,DUNDAS,43.65613653,-79.38072965
BD,DUNDAS WEST,43.6569,-79.4532
YU,DUPONT,43.67490988,-79.40725667
YU,EGLINTON,43.70664584,-79.39915846
YU,EGLINTON WEST,43.69899665,-79.43598953
SRT,ELLESMERE,43.76722615,-79.27731467
YU,FINCH,43.78149012,-79.41567261
YU,FINCH WEST,43.7651,-79.491
YU,GLENCAIRN,43.7088,-79.4407
BD,GREENWOOD,43.68270361,-79.33027644
BD,HIGH PARK,43.6538,-79.4668
YU,HIGHWAY 407,43.7832,-79.5237
BD,ISLINGTON,43.645,-79.5246
BD,JANE,43.65,-79.4837
BD,KEELE,43.6554,-79.4599
BD,KENNEDY,43.73211815,-79.26569845
YU,KING,43.64912088,-79.37804513
BD,KIPLING,43.6376,-79.5355
BD,LANSDOWNE,43.6593,-79.4432
YU,LAWRENCE,43.72542192,-79.40187758
SRT,LAWRENCE EAST,43.7502148,-79.27090721
YU,LAWRENCE WEST,43.7159,-79.4441
SHP,LESLIE,43.77113245,-79.36741635
BD,MAIN STREET,43.68891661,-79.30272876
SRT,MCCOWAN,43.77551255,-79.25154339
SRT,MIDLAND,43.77016839,-79.27248232
YU,MUSEUM,43.66717707,-79.39350223
YU,NORTH YORK CENTRE,43.76924125,-79.4129116
BD,OLD MILL,43.6503,-79.495
YU,OSGOODE,43.65087411,-79.38661732
BD,OSSINGTON,43.6624,-79.4262
BD,PAPE,43.67968493,-79.34520853
YU,PIONEER VILLAGE,43.7772,-79.5103
YU,QUEEN,43.65234651,-79.3793265
YU,QUEENS PARK,43.65970495,-79.39034904
YU,ROSEDALE,43.67690095,-79.38872589
BD,ROYAL YORK,43.6482,-79.5115
BD,RUNNYMEDE,43.6517,-79.476
SRT,SCARBOROUGH CENTRE,43.77384411,-79.25786316
YU,SHEPPARD WEST,43.7497,-79.4619
SHP,SHEPPARD YONGE,43.76161811,-79.41098864
BD,SHERBOURNE,43.67234508,-79.37698161
BD,SPADINA,43.66771459,-79.40375197
YU,ST ANDREW,43.64764565,-79.38513048
YU,ST CLAIR,43.68816298,-79.39328435
YU,ST CLAIR WEST,43.68435203,-79.41453588
BD,ST GEORGE,43.66831877,-79.39867229
YU,ST PATRICK,43.65461164,-79.38829598
YU,SUMMERHILL,43.68245,-79.39117824
YU,UNION,43.64572267,-79.38046226
YU,VAUGHAN MC,43.7942,-79.5275
BD,VICTORIA PARK,43.69432082,-79.29031894
BD,WARDEN,43.71224201,-79.27898037
YU,WELLESLEY,43.66518294,-79.38377079
YU,WILSON,43.73458062,-79.44992871
BD,WOODBINE,43.6863529,-79.31335711
YU,YORK MILLS,43.74499592,-79.40533068
YU,YORK UNIVERSITY,43.7739,-79.4998
YU,YORKDALE,43.72481302,-79.44750946
